model_id,run_name,final_ready,registered_reference,strict_convergence,canonical_animation_present,fixed_cell_fourier_present,final_cycle_products_present,animation_trusted,verification_passed,missing,active_stage,latest_period,max_periods,convergence_blocking_requirements,convergence_quality_flags,convergence_forecast_status,delta_r_ratio_to_tolerance,gamma_ratio_to_tolerance,period_ratio_to_tolerance
model_000,model_000_combined_14507_full_pressure_minus_eq,True,True,True,True,True,True,True,True,,,,,,,,,,
model_001,model_001_M0p5602_Z0p003592_T6824,False,False,False,True,True,True,False,True,"strict convergence, trusted animation",continue_saturation,1954,5000,"100_cycle_window,delta_r",surface_velocity_supersonic,,26.632493949359368,0.3475709271544647,0.40121998505386874
model_002,model_002_M0p5753_Z0p00707_T6044,False,False,False,True,True,True,False,True,"strict convergence, trusted animation",,2000,5000,"gamma,delta_r",,stalled,111.47892994542363,,0.0
model_003,model_003_M0p7317_Z0p001405_T6745,False,False,False,True,True,True,False,False,"strict convergence, trusted animation, verification",,2000,5000,"gamma,period,delta_r",,worsening,553.7146114383431,,120.21008628543869
model_004,model_004_M0p7595_Z0p0001834_T6876,False,False,False,True,True,True,False,True,"strict convergence, trusted animation",,2000,5000,"gamma,period,delta_r",,worsening,194.7332378758638,,25.235680823581454
model_005,model_005_M0p6238_Z0p00007156_T6925,False,False,False,True,True,True,False,False,"strict convergence, trusted animation, verification",,2000,5000,"gamma,period,delta_r",,worsening,1083.8292045313083,,238.0971853063449
model_006,model_006_M0p7194_Z0p001620_T6711,False,False,False,True,True,True,False,False,"strict convergence, trusted animation, verification",,2000,5000,"gamma,period,delta_r",,worsening,378.02903115574895,,91.32408511069967
model_007,model_007_M0p6887_Z0p004060_T6669,False,False,False,False,False,False,False,False,"strict convergence, canonical animation, fixed-cell Fourier depth diagnostic, final-cycle products, trusted animation, verification",continue_saturation,1684,5000,delta_r,surface_velocity_supersonic,approaching,30.01292525000541,0.48717638428290283,0.11799927858470752
model_008,model_008_M0p6151_Z0p0004406_T6792,False,False,False,False,False,False,False,False,"strict convergence, canonical animation, fixed-cell Fourier depth diagnostic, final-cycle products, trusted animation, verification",continue_saturation,1104,5000,delta_r,,worsening,205.4950375557188,0.05309812737983553,0.008446730920817365
model_009,model_009_M0p6668_Z0p0001120_T6852,False,False,False,False,False,False,False,False,"strict convergence, canonical animation, fixed-cell Fourier depth diagnostic, final-cycle products, trusted animation, verification",create,218,600,"gamma,period,delta_r",,worsening,340.4424165108269,5.084203462958899,57.898319409001964
